LDA Original,LDA Dummy,LDA Prescale,LDA SMOTE ,LDA SMOTE Prescale ,LDA Upsample 
0.3207995,0.4521571,0.4593942,0.5057237,0.5057237,0.5003475
0.3301442,0.4668396,0.4521571,0.5358802,0.5358802,0.5219639
0.313228,0.4701956,0.4668396,0.5125829,0.5125829,0.5017996
0.3133025,0.4387505,0.4701956,0.5147682,0.5147682,0.5155926
0.3207107,0.4770019,0.4387505,0.5377336,0.5377336,0.5270195
0.3269868,0.4595849,0.4770019,0.5140125,0.5140125,0.5076336
0.2995016,0.4436271,0.4593942,0.5238962,0.5238962,0.5128634
0.3043949,0.449042,0.4595849,0.512082,0.512082,0.5073147
0.322661,0.4824845,0.4436271,0.5287302,0.5287302,0.5157636
0.3404311,0.467231,0.449042,0.5290162,0.5290162,0.5198636
0.3227879,0.4692227,0.4824845,0.525384,0.525384,0.5142178
0.3363438,0.4572482,0.467231,0.5183143,0.5183143,0.5199414
0.3255491,0.4543464,0.4593942,0.5168788,0.5168788,0.5114675
0.3204734,0.4730705,0.4692227,0.5331001,0.5331001,0.5146065
0.3009576,0.4467868,0.4572482,0.5114884,0.5114884,0.5011803
0.3109323,0.4430062,0.4543464,0.5098902,0.5098902,0.5070431
0.3385516,0.4621063,0.4730705,0.5324968,0.5324968,0.522507
0.3054439,0.4646641,0.4467868,0.5276735,0.5276735,0.527849
0.3135248,0.4669283,0.4593942,0.5227282,0.5227282,0.5141083
0.3348233,0.474843,0.4430062,0.5112307,0.5112307,0.5004875
0.3249288,0.4647767,0.4621063,0.5179829,0.5179829,0.5139868
0.3128876,0.4637291,0.4646641,0.5137604,0.5137604,0.5126021
0.345917,0.4583456,0.4669283,0.5133638,0.5133638,0.509309
0.2849928,0.4407654,0.474843,0.5125786,0.5125786,0.5089174
0.3343417,0.4829639,0.4593942,0.5430263,0.5430263,0.529109
