Orignial RF,Tuned RF
0.5606704,0.561541
0.5551988,0.5676606
0.5417914,0.5554811
0.5378047,0.5628095
0.5311577,0.5710931
0.5848137,0.5564018
0.5574872,0.5476907
0.5551988,0.5257697
0.5324193,0.5739036
0.5586256,0.5745236
0.5509997,0.5615351
0.5478958,0.561883
0.5479951,0.5537137
0.5551988,0.5615786
0.5690846,0.5667066
0.5537696,0.5566924
0.5591509,0.5555912
0.5533596,0.5678207
0.5536567,0.5636385
0.5551988,0.563676
0.5575806,0.5577405
0.5325221,0.5619803
0.5481889,0.5526831
0.5247872,0.5394576
0.5697064,0.5818014
